sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 2_H4	35 bp to 100 bp	0.0497	0.3	1.244	66	2	Positive	1
Plate 2_H4	100 bp to 200 bp	0.1259	0.6	1.242	167	2	Positive	1
Plate 2_H4	200 bp to 1000 bp	18.9307	95.8	63.857	488	2	Positive	1
Plate 2_A5	35 bp to 100 bp	0.0214	1.5	0.4893	72	2	Positive	0.1
Plate 2_A5	100 bp to 200 bp	0.0382	2.7	0.4032	156	2	Positive	0.1
Plate 2_A5	200 bp to 1000 bp	1.3343	93.5	5.1285	428	2	Positive	0.1
Plate 2_B5	35 bp to 100 bp	0.1364	20.5	2.9127	77	2	Negative	0.1
Plate 2_B5	100 bp to 200 bp	0.1575	23.7	2.361	110	2	Negative	0.1
Plate 2_B5	200 bp to 1000 bp	0.3409	51.3	1.4143	397	2	Negative	0.1
Plate 2_C5	35 bp to 100 bp	0.0891	4.6	1.9642	74	2	Positive	0.1
Plate 2_C5	100 bp to 200 bp	0.0893	4.7	1.1773	125	2	Positive	0.1
Plate 2_C5	200 bp to 1000 bp	1.6996	88.6	6.0224	464	2	Positive	0.1
Plate 2_D5	35 bp to 100 bp	0.088	3.9	1.7212	84	2	Positive	0.1
Plate 2_D5	100 bp to 200 bp	0.2463	11	2.4977	162	2	Positive	0.1
Plate 2_D5	200 bp to 1000 bp	1.8946	84.6	9.3836	332	2	Positive	0.1
Plate 2_E5	35 bp to 100 bp	0.0521	0.9	1.1155	77	2	Positive	0.1
Plate 2_E5	100 bp to 200 bp	0.0913	1.5	1.1232	134	2	Positive	0.1
Plate 2_E5	200 bp to 1000 bp	5.8308	96	22.1058	434	2	Positive	0.1
Plate 2_F5	35 bp to 100 bp	0.0652	1.3	1.51	71	2	Positive	0.1
Plate 2_F5	100 bp to 200 bp	0.0795	1.6	0.9805	133	2	Positive	0.1
Plate 2_F5	200 bp to 1000 bp	4.6462	95.7	18.0794	423	2	Positive	0.1
Plate 2_G5	35 bp to 100 bp	0.048	19	1.0156	78	2	Negative	0.1
Plate 2_G5	100 bp to 200 bp	0.034	13.4	0.4284	130	2	Negative	0.1
Plate 2_G5	200 bp to 1000 bp	0.1517	60	0.653	382	2	Negative	0.1
Plate 2_H5	35 bp to 100 bp	0.0032	45.7	0.1336	40	2	Positive	0.1
Plate 2_H5	100 bp to 200 bp	0.0032	45.7	0.0271	196	2	Positive	0.1
Plate 2_H5	200 bp to 1000 bp	0.0032	45.7	0.0132	401	2	Positive	0.1
Plate 3_A2	35 bp to 100 bp	0.0146	14.4	0.3752	64	3	Negative	0.01
Plate 3_A2	100 bp to 200 bp	0.012	11.9	0.1517	130	3	Negative	0.01
Plate 3_A2	200 bp to 1000 bp	0.0561	55.6	0.2531	365	3	Negative	0.01
Plate 3_B2	35 bp to 100 bp	0.0712	19.9	1.2773	92	3	Positive	0.01
Plate 3_B2	100 bp to 200 bp	0.0207	5.8	0.2936	116	3	Positive	0.01
Plate 3_B2	200 bp to 1000 bp	0.254	70.8	0.9667	432	3	Positive	0.01
Plate 3_C2	35 bp to 100 bp	0.0189	5.3	0.4894	63	3	Positive	0.01
Plate 3_C2	100 bp to 200 bp	0.0205	5.7	0.2314	146	3	Positive	0.01
Plate 3_C2	200 bp to 1000 bp	0.2983	83.6	1.2161	404	3	Positive	0.01
Plate 3_D2	35 bp to 100 bp	0.0357	7.7	0.7551	78	3	Positive	0.01
Plate 3_D2	100 bp to 200 bp	0.0106	2.3	0.1246	140	3	Positive	0.01
Plate 3_D2	200 bp to 1000 bp	0.3928	85.1	1.5153	427	3	Positive	0.01
Plate 3_E2	35 bp to 100 bp	0.0262	6.3	0.6938	62	3	Positive	0.01
Plate 3_E2	100 bp to 200 bp	0.0197	4.7	0.2343	138	3	Positive	0.01
Plate 3_E2	200 bp to 1000 bp	0.3394	81.9	1.4485	385	3	Positive	0.01
Plate 3_F2	35 bp to 100 bp	0.0822	15.3	1.582	85	3	Positive	0.01
Plate 3_F2	100 bp to 200 bp	0.0578	10.8	0.7481	127	3	Positive	0.01
Plate 3_F2	200 bp to 1000 bp	0.3775	70.3	1.5489	401	3	Positive	0.01
Plate 3_G2	35 bp to 100 bp	0.0141	8.6	0.4105	56	3	Negative	0.01
Plate 3_G2	100 bp to 200 bp	0.0081	4.9	0.0915	145	3	Negative	0.01
Plate 3_G2	200 bp to 1000 bp	0.114	69.3	0.5437	345	3	Negative	0.01
Plate 3_H2	35 bp to 100 bp	0.0174	5	0.4848	59	3	Positive	0.01
Plate 3_H2	100 bp to 200 bp	0.011	3.1	0.1242	145	3	Positive	0.01
Plate 3_H2	200 bp to 1000 bp	0.292	83.6	1.1333	424	3	Positive	0.01
Plate 3_A3	35 bp to 100 bp	0.0026	1.3	0.0696	61	3	Positive	0.1
Plate 3_A3	100 bp to 200 bp	9e-4	0.5	0.0105	144	3	Positive	0.1
