Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eO3_1 tile.czi,2,3077.6,518,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,3146.15,944,old caecum
G121eO3_3 tile.czi,1,3155.1,913,old colon
G121eO3_2 tile.czi,3,3155.5,486,old colon
G121eI B2-3 stitch.czi,4,3155.5,494,old caecum
G121eI B2-1 stitch.czi,3,3156.22,1191,old caecum
G121eD3_2 tile.czi - Scene #2,3,3159.4,0,old ileum
G121eO3_1 tile.czi,2,3159.4,205,old colon
G121eD3_3 tile.czi,1,3160.2,1,old ileum
G121eO3_2 tile.czi,3,3235.5,298,old colon
G121eI B2-3 stitch.czi,4,3236.1,444,old caecum
G121eO3_3 tile.czi,1,3236.9,430,old colon
G121eI B2-1 stitch.czi,3,3240.62,1104,old caecum
G121eD3_2 tile.czi - Scene #2,3,3242.6,9,old ileum
G121eD3_3 tile.czi,1,3242.6,0,old ileum
G121eO3_1 tile.czi,2,3242.6,248,old colon
G121eO3_2 tile.czi,3,3316.7,385,old colon
G121eO3_3 tile.czi,1,3316.9,388,old colon
G121eI B2-3 stitch.czi,4,3317.9,33,old caecum
G121eI B2-1 stitch.czi,3,3321.22,278,old caecum
G121eD3_2 tile.czi - Scene #2,3,3324.6,4,old ileum
G121eD3_3 tile.czi,1,3324.6,0,old ileum
G121eO3_1 tile.czi,2,3324.6,364,old colon
G121eO3_2 tile.czi,3,3396.1,719,old colon
G121eO3_3 tile.czi,1,3398.1,383,old colon
G121eI B2-3 stitch.czi,4,3399.7,59,old caecum
G121eI B2-1 stitch.czi,3,3400.72,628,old caecum
G121eD3_2 tile.czi - Scene #2,3,3403.9,2,old ileum
G121eD3_3 tile.czi,1,3403.9,0,old ileum
G121eO3_1 tile.czi,2,3403.9,124,old colon
G121eO3_2 tile.czi,3,3476.2,542,old colon
G121eO3_3 tile.czi,1,3477.5,953,old colon
G121eI B2-3 stitch.czi,4,3479.7,170,old caecum
G121eI B2-1 stitch.czi,3,3481.32,291,old caecum
G121eD3_2 tile.czi - Scene #2,3,3482.3,0,old ileum
G121eD3_3 tile.czi,1,3482.3,0,old ileum
