Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
E7,Plate 2_E4,100 bp to 200 bp,0.0409,12.9,0.5975,112,20.56,300,2,2,Negative,1,FA_A
E7,Plate 2_E4,200 bp to 1000 bp,0.0841,26.5,0.3516,393,36.46,300,2,2,Negative,1,FA_A
F7,Plate 2_F4,35 bp to 100 bp,0.1165,0.5,2.8267,68,26.2,300,8.2,2,Positive,1,FA_A
F7,Plate 2_F4,100 bp to 200 bp,0.2493,1.1,2.5788,159,19.83,300,8.2,2,Positive,1,FA_A
F7,Plate 2_F4,200 bp to 1000 bp,22.1676,97.3,86.3995,422,32.41,300,8.2,2,Positive,1,FA_A
G7,Plate 2_G4,35 bp to 100 bp,0.0246,0.2,0.6379,63,31.7,300,8.4,2,Positive,1,FA_A
G7,Plate 2_G4,100 bp to 200 bp,0.0856,0.8,0.827,170,14.77,300,8.4,2,Positive,1,FA_A
G7,Plate 2_G4,200 bp to 1000 bp,10.2198,97.2,40.2536,418,31.99,300,8.4,2,Positive,1,FA_A
H7,Plate 2_H4,35 bp to 100 bp,0.0497,0.3,1.244,66,30.58,300,9,2,Positive,1,FA_A
H7,Plate 2_H4,100 bp to 200 bp,0.1259,0.6,1.242,167,15.56,300,9,2,Positive,1,FA_A
H7,Plate 2_H4,200 bp to 1000 bp,18.9307,95.8,63.857,488,31.21,300,9,2,Positive,1,FA_A
A8,Plate 2_A5,35 bp to 100 bp,0.0214,1.5,0.4893,72,26.09,300,6.9,2,Positive,0.1,FA_A
A8,Plate 2_A5,100 bp to 200 bp,0.0382,2.7,0.4032,156,20.72,300,6.9,2,Positive,0.1,FA_A
A8,Plate 2_A5,200 bp to 1000 bp,1.3343,93.5,5.1285,428,38.88,300,6.9,2,Positive,0.1,FA_A
B8,Plate 2_B5,35 bp to 100 bp,0.1364,20.5,2.9127,77,20.24,300,4,2,Negative,0.1,FA_A
B8,Plate 2_B5,100 bp to 200 bp,0.1575,23.7,2.361,110,14.88,300,4,2,Negative,0.1,FA_A
B8,Plate 2_B5,200 bp to 1000 bp,0.3409,51.3,1.4143,397,35.13,300,4,2,Negative,0.1,FA_A
C8,Plate 2_C5,35 bp to 100 bp,0.0891,4.6,1.9642,74,23.2,300,7.7,2,Positive,0.1,FA_A
C8,Plate 2_C5,100 bp to 200 bp,0.0893,4.7,1.1773,125,26.08,300,7.7,2,Positive,0.1,FA_A
C8,Plate 2_C5,200 bp to 1000 bp,1.6996,88.6,6.0224,464,34.18,300,7.7,2,Positive,0.1,FA_A
D8,Plate 2_D5,35 bp to 100 bp,0.088,3.9,1.7212,84,16.45,300,4.1,2,Positive,0.1,FA_A
D8,Plate 2_D5,100 bp to 200 bp,0.2463,11,2.4977,162,23.23,300,4.1,2,Positive,0.1,FA_A
D8,Plate 2_D5,200 bp to 1000 bp,1.8946,84.6,9.3836,332,35.01,300,4.1,2,Positive,0.1,FA_A
E8,Plate 2_E5,35 bp to 100 bp,0.0521,0.9,1.1155,77,23.97,300,7.8,2,Positive,0.1,FA_A
E8,Plate 2_E5,100 bp to 200 bp,0.0913,1.5,1.1232,134,26.17,300,7.8,2,Positive,0.1,FA_A
E8,Plate 2_E5,200 bp to 1000 bp,5.8308,96,22.1058,434,35.49,300,7.8,2,Positive,0.1,FA_A
F8,Plate 2_F5,35 bp to 100 bp,0.0652,1.3,1.51,71,24.57,300,8.1,2,Positive,0.1,FA_A
F8,Plate 2_F5,100 bp to 200 bp,0.0795,1.6,0.9805,133,27.52,300,8.1,2,Positive,0.1,FA_A
F8,Plate 2_F5,200 bp to 1000 bp,4.6462,95.7,18.0794,423,32.34,300,8.1,2,Positive,0.1,FA_A
G8,Plate 2_G5,35 bp to 100 bp,0.048,19,1.0156,78,25.05,300,4.1,2,Negative,0.1,FA_A
G8,Plate 2_G5,100 bp to 200 bp,0.034,13.4,0.4284,130,25.76,300,4.1,2,Negative,0.1,FA_A
G8,Plate 2_G5,200 bp to 1000 bp,0.1517,60,0.653,382,35.95,300,4.1,2,Negative,0.1,FA_A
H8,Plate 2_H5,35 bp to 100 bp,0.0032,45.7,0.1336,40,21.93,300,N/A (Size threshold is less than lower marker end point),2,Positive,0.1,FA_A
H8,Plate 2_H5,100 bp to 200 bp,0.0032,45.7,0.0271,196,0.21,300,N/A (Size threshold is less than lower marker end point),2,Positive,0.1,FA_A
H8,Plate 2_H5,200 bp to 1000 bp,0.0032,45.7,0.0132,401,26.86,300,N/A (Size threshold is less than lower marker end point),2,Positive,0.1,FA_A
A9,Plate 3_A2,35 bp to 100 bp,0.0146,14.4,0.3752,64,30.27,300,4.1,3,Negative,0.01,FA_A
A9,Plate 3_A2,100 bp to 200 bp,0.012,11.9,0.1517,130,17.15,300,4.1,3,Negative,0.01,FA_A
A9,Plate 3_A2,200 bp to 1000 bp,0.0561,55.6,0.2531,365,27.85,300,4.1,3,Negative,0.01,FA_A
B9,Plate 3_B2,35 bp to 100 bp,0.0712,19.9,1.2773,92,16.17,300,6.1,3,Positive,0.01,FA_A
B9,Plate 3_B2,100 bp to 200 bp,0.0207,5.8,0.2936,116,17.89,300,6.1,3,Positive,0.01,FA_A
B9,Plate 3_B2,200 bp to 1000 bp,0.254,70.8,0.9667,432,32.31,300,6.1,3,Positive,0.01,FA_A
C9,Plate 3_C2,35 bp to 100 bp,0.0189,5.3,0.4894,63,32.09,300,5.9,3,Positive,0.01,FA_A
C9,Plate 3_C2,100 bp to 200 bp,0.0205,5.7,0.2314,146,19.94,300,5.9,3,Positive,0.01,FA_A
C9,Plate 3_C2,200 bp to 1000 bp,0.2983,83.6,1.2161,404,37.07,300,5.9,3,Positive,0.01,FA_A
D9,Plate 3_D2,35 bp to 100 bp,0.0357,7.7,0.7551,78,22.95,300,6.8,3,Positive,0.01,FA_A
D9,Plate 3_D2,100 bp to 200 bp,0.0106,2.3,0.1246,140,21.12,300,6.8,3,Positive,0.01,FA_A
D9,Plate 3_D2,200 bp to 1000 bp,0.3928,85.1,1.5153,427,34.98,300,6.8,3,Positive,0.01,FA_A
E9,Plate 3_E2,35 bp to 100 bp,0.0262,6.3,0.6938,62,32.91,300,6.2,3,Positive,0.01,FA_A
E9,Plate 3_E2,100 bp to 200 bp,0.0197,4.7,0.2343,138,16.08,300,6.2,3,Positive,0.01,FA_A
E9,Plate 3_E2,200 bp to 1000 bp,0.3394,81.9,1.4485,385,31.87,300,6.2,3,Positive,0.01,FA_A
F9,Plate 3_F2,35 bp to 100 bp,0.0822,15.3,1.582,85,17.08,300,5.4,3,Positive,0.01,FA_A
F9,Plate 3_F2,100 bp to 200 bp,0.0578,10.8,0.7481,127,19.12,300,5.4,3,Positive,0.01,FA_A
F9,Plate 3_F2,200 bp to 1000 bp,0.3775,70.3,1.5489,401,32.74,300,5.4,3,Positive,0.01,FA_A
G9,Plate 3_G2,35 bp to 100 bp,0.0141,8.6,0.4105,56,30.17,300,4.3,3,Negative,0.01,FA_A
G9,Plate 3_G2,100 bp to 200 bp,0.0081,4.9,0.0915,145,20.05,300,4.3,3,Negative,0.01,FA_A
G9,Plate 3_G2,200 bp to 1000 bp,0.114,69.3,0.5437,345,26.24,300,4.3,3,Negative,0.01,FA_A
H9,Plate 3_H2,35 bp to 100 bp,0.0174,5,0.4848,59,32.86,300,6.6,3,Positive,0.01,FA_A
H9,Plate 3_H2,100 bp to 200 bp,0.011,3.1,0.1242,145,21.26,300,6.6,3,Positive,0.01,FA_A
H9,Plate 3_H2,200 bp to 1000 bp,0.292,83.6,1.1333,424,35.56,300,6.6,3,Positive,0.01,FA_A
